"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454698.5","240883201","299.84","2.34e-7","2.10e-8","-2.61","-","39.00","1e-8","0","bin1.log"
"Sep 19 2008","2454728.5","243475201","3046.54","1.05e-6","3.00e-8","-2.61","-","10.56","1e-8","0","bin2.log"
"Oct 19 2008","2454758.5","246067201","2699.83","9.09e-7","3.10e-8","-2.61","-","20.42","1e-8","0","bin3.log"
"Nov 18 2008","2454788.5","248659201","1257.13","5.77e-7","2.70e-8","-2.61","-","49.53","1e-8","0","bin4.log"
"Dec 18 2008","2454818.5","251251201","975.88","4.53e-7","2.30e-8","-2.61","-","79.23","1e-8","0","bin5.log"
"Jan 17 2009","2454848.499988426","253843201","248.96","2.24e-7","2.10e-8","-2.61","-","109.48","1e-8","0","bin6.log"
"Feb 16 2009","2454878.499988426","256435201","371.67","2.46e-7","1.90e-8","-2.61","-","139.92","1e-8","0","bin7.log"
"Mar 18 2009","2454908.499988426","259027201","528.04","3.68e-7","2.50e-8","-2.61","-","170.00","1e-8","0","bin8.log"
"Apr 17 2009","2454938.499988426","261619201","1468.25","6.09e-7","2.60e-8","-2.61","-","160.38","1e-8","0","bin9.log"
"May 17 2009","2454968.499988426","264211201","1026.38","5.32e-7","2.70e-8","-2.61","-","131.31","1e-8","0","bin10.log"
"Jun 16 2009","2454998.499988426","266803201","382.16","2.72e-7","2.10e-8","-2.61","-","102.34","1e-8","0","bin11.log"
"Jul 16 2009","2455028.499988426","269395201","473.58","3.03e-7","2.10e-8","-2.61","-","73.24","1e-8","0","bin12.log"
"Aug 15 2009","2455058.499988426","271987201","4022.65","1.42e-6","4.00e-8","-2.61","-","44.08","1e-8","0","bin13.log"
"Sep 14 2009","2455088.499988426","274579201","8853.36","2.56e-6","5.00e-8","-2.61","-","15.30","1e-8","0","bin14.log"
"Oct 14 2009","2455118.499988426","277171201","2990.77","1.55e-6","5.00e-8","-2.61","-","15.48","1e-8","0","bin15.log"
"Nov 13 2009","2455148.499988426","279763201","3793.22","1.43e-6","4.00e-8","-2.61","-","44.39","1e-8","0","bin16.log"
"Dec 13 2009","2455178.499988426","282355201","1283.55","8.15e-7","3.80e-8","-2.61","-","74.00","1e-8","0","bin17.log"
"Jan 12 2010","2455208.499988426","284947201","1045.97","6.54e-7","3.40e-8","-2.61","-","104.16","1e-8","0","bin18.log"
"Feb 11 2010","2455238.499988426","287539201","767.76","5.48e-7","3.20e-8","-2.61","-","134.61","1e-8","0","bin19.log"
"Mar 13 2010","2455268.499988426","290131201","4556.24","1.75e-6","5.00e-8","-2.61","-","164.79","1e-8","0","bin20.log"
"Apr 12 2010","2455298.499988426","292723201","313.54","3.12e-7","2.60e-8","-2.61","-","165.49","1e-8","0","bin21.log"
"May 12 2010","2455328.499988426","295315201","405.46","3.61e-7","2.80e-8","-2.61","-","136.37","1e-8","0","bin22.log"
"Jun 11 2010","2455358.499988426","297907201","508.61","3.60e-7","2.40e-8","-2.61","-","107.41","1e-8","0","bin23.log"
"Jul 11 2010","2455388.499988426","300499201","296.57","3.01e-7","2.60e-8","-2.61","-","78.33","1e-8","0","bin24.log"
"Aug 10 2010","2455418.499988426","303091201","280.26","2.72e-7","2.40e-8","-2.61","-","49.17","1e-8","0","bin25.log"
"Sep 09 2010","2455448.499988426","305683201","510.42","4.33e-7","3.00e-8","-2.61","-","20.23","1e-8","0","bin26.log"
"Oct 09 2010","2455478.499988426","308275201","328.7","4.06e-7","3.40e-8","-2.61","-","10.72","1e-8","0","bin27.log"
"Nov 08 2010","2455508.499988426","310867201","275.28","2.78e-7","2.50e-8","-2.61","-","39.27","1e-8","0","bin28.log"
"Dec 08 2010","2455538.499988426","313459201","329","3.34e-7","2.80e-8","-2.61","-","68.79","1e-8","0","bin29.log"
"Jan 07 2011","2455568.499988426","316051201","535.6","3.91e-7","2.60e-8","-2.61","-","98.86","1e-8","0","bin30.log"
