"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","82.29","3.03e-7","5.30e-8","-2.61","-","50.15","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","84.66","3.02e-7","5.00e-8","-2.61","-","43.36","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","74.05","2.19e-7","4.00e-8","-2.61","-","36.58","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","38.06","1.37e-7","3.20e-8","-2.61","-","29.82","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","480.93","7.61e-7","5.90e-8","-2.61","-","23.10","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","918.76","1.10e-6","6.00e-8","-2.61","-","16.48","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","884.94","1.16e-6","7.00e-8","-2.61","-","10.13","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","528.77","9.90e-7","7.60e-8","-2.61","-","5.19","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","836.54","1.40e-6","9.00e-8","-2.61","-","6.69","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","613.77","9.20e-7","6.70e-8","-2.61","-","12.49","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","753.91","1.01e-6","6.40e-8","-2.61","-","19.00","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","306.21","5.63e-7","5.30e-8","-2.61","-","25.69","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","585.12","8.11e-7","5.70e-8","-2.61","-","32.45","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","508.97","7.53e-7","5.70e-8","-2.61","-","39.26","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","323.78","5.72e-7","5.40e-8","-2.61","-","46.10","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","155.39","3.98e-7","5.20e-8","-2.61","-","52.97","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","143.94","4.16e-7","5.60e-8","-2.61","-","59.86","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","209","4.28e-7","4.90e-8","-2.61","-","66.79","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","527.78","7.66e-7","5.70e-8","-2.61","-","73.74","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","299.55","5.19e-7","4.80e-8","-2.61","-","80.73","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","80.07","2.38e-7","3.90e-8","-2.61","-","87.75","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","59.57","2.16e-7","3.90e-8","-2.61","-","94.80","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","62.41","2.30e-7","4.20e-8","-2.61","-","101.88","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","35.62","1.68e-7","4.00e-8","-2.61","-","108.97","1e-8","0","bin24.log"
"Jan 23 2009","2454854.999988426","254404801","94.1","3.09e-7","5.20e-8","-2.61","-","116.08","1e-8","0","bin25.log"
"Jan 30 2009","2454861.999988426","255009601","64.67","2.44e-7","4.20e-8","-2.61","-","123.19","1e-8","0","bin26.log"
"Feb 06 2009","2454868.999988426","255614401","87.4","2.52e-7","4.00e-8","-2.61","-","130.29","1e-8","0","bin27.log"
"Feb 13 2009","2454875.999988426","256219201","136.97","2.92e-7","4.00e-8","-2.61","-","137.39","1e-8","0","bin28.log"
"Feb 20 2009","2454882.999988426","256824001","52.66","1.77e-7","3.50e-8","-2.61","-","144.46","1e-8","0","bin29.log"
"Feb 27 2009","2454889.999988426","257428801","72.92","2.50e-7","4.20e-8","-2.61","-","151.52","1e-8","0","bin30.log"
"Mar 06 2009","2454896.999988426","258033601","165.8","4.45e-7","5.60e-8","-2.61","-","158.54","1e-8","0","bin31.log"
"Mar 13 2009","2454903.999988426","258638401","49.69","2.87e-7","6.60e-8","-2.61","-","165.53","1e-8","0","bin32.log"
"Mar 20 2009","2454910.999988426","259243201","198.35","4.63e-7","5.40e-8","-2.61","-","172.46","1e-8","0","bin33.log"
"Mar 27 2009","2454917.999988426","259848001","96.58","2.75e-7","4.30e-8","-2.61","-","178.87","1e-8","0","bin34.log"
